1,1430
2,1430
3,1430
4,1430
5,1430
6,1430
7,1430
8,1430
9,1430
10,1430
11,1441
12,1452
13,1463
14,1474
15,1485
16,1496
17,1507
18,1518
19,1529
20,1540
21,1664
22,1788
23,1912
24,2037
25,2161
26,2285
27,2410
28,2534
29,2658
30,2783
31,2907
32,3031
33,3155
34,3280
35,3404
36,3528
37,3653
38,3777
39,3901
40,4026
41,4153
42,4281
43,4408
44,4536
45,4664
46,4791
47,4919
48,5046
49,5174
50,5302
51,5429
52,5557
53,5684
54,5812
55,5940
56,6067
57,6195
58,6322
59,6450
60,6578
61,6756
62,6934
63,7112
64,7290
65,7469
66,7647
67,7825
68,8003
69,8181
70,8360
71,8538
72,8716
73,8894
74,9072
75,9251
76,9429
77,9607
78,9785
79,9963
80,10142
81,10320
82,10498
83,10676
84,10854
85,11033
86,11211
87,11389
88,11567
89,11745
90,11924
91,12102
92,12280
93,12458
94,12636
95,12815
96,12993
97,13171
98,13349
99,13527
100,13706
